매출일자,품명,수량
20030430,저녁식사,19.566787
20030501,아침식사,40.50541516
20030501,점심식사,40.57761733
20030501,저녁식사,21.73285199
20030502,아침식사,41.66064982
20030502,점심식사,50.75812274
20030502,저녁식사,19.63898917
20030503,아침식사,37.97833935
20030503,점심식사,31.40794224
20030503,저녁식사,16.24548736
20030504,아침식사,34.87364621
20030504,점심식사,27.07581227
20030504,저녁식사,17.25631769
20030505,아침식사,37.61732852
20030505,점심식사,30.54151625
20030505,저녁식사,19.06137184
20030506,아침식사,42.38267148
20030506,점심식사,58.62815884
20030506,저녁식사,28.15884477
20030507,아침식사,49.60288809
20030507,점심식사,43.89891697
20030507,저녁식사,19.13357401
20030508,아침식사,43.03249097
20030508,점심식사,28.73646209
20030508,저녁식사,20.28880866
20030509,아침식사,51.98555957
20030509,점심식사,45.19855596
20030509,저녁식사,25.70397112
20030510,아침식사,45.77617329
20030510,점심식사,36.75090253
20030510,저녁식사,19.20577617
20030511,아침식사,45.63176895
20030511,점심식사,30.54151625
20030511,저녁식사,22.16606498
20030512,아침식사,44.83754513
20030512,점심식사,53.06859206
20030512,저녁식사,24.90974729
20030513,아침식사,48.01444043
20030513,점심식사,52.3465704
20030513,저녁식사,25.99277978
20030514,아침식사,49.60288809
20030514,점심식사,47.4368231
20030514,저녁식사,19.7833935
20030515,아침식사,49.16967509
20030515,점심식사,45.84837545
20030515,저녁식사,22.02166065
20030516,아침식사,48.88086643
20030516,점심식사,57.68953069
20030516,저녁식사,17.32851986
20030517,아침식사,43.8267148
20030517,점심식사,28.15884477
20030517,저녁식사,13.06859206
20030518,아침식사,39.13357401
20030518,점심식사,23.8267148
20030518,저녁식사,23.8267148
20030519,아침식사,48.73646209
20030519,점심식사,49.31407942
20030519,저녁식사,23.89891697
20030520,아침식사,47.00361011
20030520,점심식사,54.65703971
20030520,저녁식사,23.97111913
20030521,아침식사,45.19855596
20030521,점심식사,58.62815884
20030521,저녁식사,23.17689531
20030522,아침식사,47.8700361
20030522,점심식사,57.61732852
20030522,저녁식사,23.68231047
20030523,아침식사,46.28158845
20030523,점심식사,50.10830325
20030523,저녁식사,19.71119134
20030524,아침식사,46.93140794
20030524,점심식사,36.67870036
20030524,저녁식사,12.99638989
20030525,아침식사,37.32851986
20030525,점심식사,18.98916968
20030525,저녁식사,15.7400722
